Date,Timestamp,Invoice No.,Item Name,Price,Qty.,Sub Total,Discount,Tax,Final Total,Table No.,Server Name,Covers,Variation,Category,HSN
2023-09-19,2023-09-19 22:03:44,28389,Kulcha,55.00,1.00,55.00,0.00,2.76,57.76,16,biller,0,,Indian Breads,
2023-09-19,2023-09-19 22:03:44,28389,Parota,30.00,4.00,120.00,0.00,6.00,126.00,16,biller,0,,Indian Breads,
2023-09-19,2023-09-19 22:03:44,28389,Mushroom Masala,150.00,1.00,150.00,0.00,7.50,157.50,16,biller,0,,Veg Gravy,
2023-09-19,2023-09-19 22:03:44,28389,Paneer Butter Masala,150.00,1.00,150.00,0.00,7.50,157.50,16,biller,0,,Veg Gravy,
2023-09-19,2023-09-19 22:03:44,28389,Gobi- 65,120.00,1.00,120.00,0.00,6.00,126.00,16,biller,0,,Veg Starters,
2023-09-19,2023-09-19 22:03:44,28389,Mineral Water,20.00,2.00,40.00,0.00,2.00,42.00,16,biller,0,,Deserts & Mocktails,
2023-09-19,2023-09-19 21:31:14,28388,Chilly Fish Dry,199.00,1.00,199.00,0.00,9.94,208.94,12,biller,0,,NON VEG STARTERS FISH,
2023-09-19,2023-09-19 21:31:14,28388,Fish 65,199.00,1.00,199.00,0.00,9.94,208.94,12,biller,0,,NON VEG STARTERS FISH,
2023-09-19,2023-09-19 21:31:14,28388,Prawn Chilli,199.00,1.00,199.00,0.00,9.94,208.94,12,biller,0,,NON VEG STARTERS FISH,
2023-09-19,2023-09-19 21:31:14,28388,Chicken 65 Boneless,190.00,1.00,190.00,0.00,9.50,199.50,12,biller,0,,NON VEG STARTERS CHICKEN,
2023-09-19,2023-09-19 21:31:14,28388,Chicken Lolly Pop,190.00,1.00,190.00,0.00,9.50,199.50,12,biller,0,,NON VEG STARTERS CHICKEN,
2023-09-19,2023-09-19 21:31:14,28388,Chicken Biriyani With Raitha And Gravy,160.00,1.00,160.00,0.00,8.00,168.00,12,biller,0,,NON VEG BRIYANI & RICE,
2023-09-19,2023-09-19 21:31:14,28388,Egg Briyani With Raitha And Chicken Gravy,140.00,2.00,280.00,0.00,14.00,294.00,12,biller,0,,NON VEG BRIYANI & RICE,
2023-09-19,2023-09-19 21:31:14,28388,Paneer Noodles,150.00,1.00,150.00,0.00,7.50,157.50,12,biller,0,,VEG BIRYANI & RICE,
